,keyword,count,ratio
0,看護費,38,25.5
1,出血,24,16.11
2,骨折,23,15.44
3,最高法院,21,14.09
4,扶養費,20,13.42
5,是否,20,13.42
6,頭部,20,13.42
7,殯葬費,17,11.41
8,義務,17,11.41
9,霍夫曼,15,10.07
10,道路交通,15,10.07
11,常規,13,8.72
12,時速,12,8.05
13,嚴重,11,7.38
14,血親,11,7.38
15,安全措施,11,7.38
16,呼吸,11,7.38
17,處置,11,7.38
18,普通重型機車,10,6.71
19,194,10,6.71
20,心臟,10,6.71
21,相驗,10,6.71
22,出現,10,6.71
23,平均,9,6.04
24,喪葬費用,9,6.04
25,意識,9,6.04
26,護理,9,6.04
27,疏失,9,6.04
28,限制,8,5.37
29,造成,8,5.37
30,救護車,8,5.37
31,經濟,8,5.37
32,濃度,8,5.37
33,下肢,8,5.37
34,殯葬費用,8,5.37
35,192,8,5.37
36,重型機車,8,5.37
37,說明,7,4.7
38,能力,7,4.7
39,分鐘,7,4.7
40,植物人,7,4.7
41,不能,7,4.7
42,喪葬費,7,4.7
43,性骨折,7,4.7
44,願供,7,4.7
45,情況,7,4.7
46,之機車,7,4.7
47,風險,7,4.7
48,撫金,7,4.7
49,227,6,4.03
50,之義務,6,4.03
51,癱瘓,6,4.03
52,負連帶,6,4.03
53,先行,6,4.03
54,尚有,6,4.03
55,方式,6,4.03
56,基礎,6,4.03
57,病歷,6,4.03
58,333,6,4.03
59,家屬,6,4.03
60,191,6,4.03
61,呼吸器,6,4.03
62,請准,6,4.03
63,偵續,6,4.03
64,股骨,6,4.03
65,心跳,6,4.03
66,藥物,6,4.03
67,負責,6,4.03
68,減輕,6,4.03
69,傷口,6,4.03
70,加護,6,4.03
71,闖紅燈,6,4.03
72,日生,6,4.03
73,保險金,6,4.03
74,斷層,5,3.36
75,腦膜,5,3.36
76,車速,5,3.36
77,死者,5,3.36
78,217,5,3.36
79,側車,5,3.36
80,養費用,5,3.36
81,無謀生,5,3.36
82,診室,5,3.36
83,有何,5,3.36
84,滑行,5,3.36
85,原因,5,3.36
86,位置,5,3.36
87,燈光,5,3.36
88,停止,5,3.36
89,血壓,5,3.36
90,交上,5,3.36
91,警詢,5,3.36
92,路由,5,3.36
93,並有,5,3.36
94,交通部,5,3.36
95,腦部,5,3.36
96,開規定,5,3.36
97,負侵,5,3.36
98,直系,5,3.36
99,市政府,5,3.36
100,機能,5,3.36
101,施行,5,3.36
102,實施,5,3.36
103,輾壓,5,3.36
104,判斷,4,2.68
105,心肌梗塞,4,2.68
106,44,4,2.68
107,無照,4,2.68
108,醫事,4,2.68
109,氣切,4,2.68
110,救護,4,2.68
111,超越,4,2.68
112,營養,4,2.68
113,給予,4,2.68
114,75,4,2.68
115,並無過,4,2.68
116,之慰,4,2.68
117,法定,4,2.68
118,依號誌,4,2.68
119,因車,4,2.68
120,第三,4,2.68
121,前方,4,2.68
122,各為,4,2.68
123,接受,4,2.68
124,道行,4,2.68
125,起點,4,2.68
126,本應,4,2.68
127,心肺,4,2.68
128,顱骨,4,2.68
129,明書,4,2.68
130,050,4,2.68
131,移動,4,2.68
132,管制,4,2.68
133,失能,4,2.68
134,骨科,4,2.68
135,之母,4,2.68
136,轉院,4,2.68
137,同意,4,2.68
138,無障,4,2.68
139,礙物,4,2.68
140,乾燥,4,2.68
141,視距,4,2.68
142,工作損失,4,2.68
143,交訴,4,2.68
144,開放性骨折,4,2.68
145,緊急,4,2.68
146,總局,4,2.68
147,明細表,4,2.68
148,固定,4,2.68
149,靜脈,4,2.68
150,160,4,2.68
151,截肢,4,2.68
152,小客,4,2.68
153,可證,3,2.01
154,失行,3,2.01
155,受僱,3,2.01
156,惡化,3,2.01
157,右前方,3,2.01
158,制汽車,3,2.01
159,宜蘭,3,2.01
160,負舉,3,2.01
161,履行,3,2.01
162,新店,3,2.01
163,情緒,3,2.01
164,技術,3,2.01
165,179,3,2.01
166,騎士,3,2.01
167,台南,3,2.01
168,承受,3,2.01
169,契約書,3,2.01
170,分擔,3,2.01
171,設有,3,2.01
172,顯然,3,2.01
173,防止,3,2.01
174,公路,3,2.01
175,心肌,3,2.01
176,49,3,2.01
177,法醫,3,2.01
178,667,3,2.01
179,法則,3,2.01
180,遵守,3,2.01
181,擦痕,3,2.01
182,巷口,3,2.01
183,缺氧,3,2.01
184,並應,3,2.01
185,上午,3,2.01
186,學生,3,2.01
187,穩定,3,2.01
188,彎道,3,2.01
189,終結,3,2.01
190,020,3,2.01
191,受領,3,2.01
192,飲酒,3,2.01
193,往東,3,2.01
194,實際,3,2.01
195,視線,3,2.01
196,輸血,3,2.01
197,113,3,2.01
198,080,3,2.01
199,不當,3,2.01
200,栓塞,3,2.01
201,法人,3,2.01
202,兩側,3,2.01
203,求償,3,2.01
204,條定,3,2.01
205,所不爭執,3,2.01
206,準此,3,2.01
207,避免,3,2.01
208,斟酌,3,2.01
209,保險理,3,2.01
210,比例,3,2.01
211,殯葬,3,2.01
212,指示,3,2.01
213,334,3,2.01
214,疼痛,3,2.01
215,X光,3,2.01
216,之重,3,2.01
217,依前,3,2.01
218,腓骨,3,2.01
219,起步,3,2.01
220,所述,3,2.01
221,不爭,3,2.01
222,276,3,2.01
223,持續,3,2.01
224,違規行,3,2.01
225,組織,3,2.01
226,185,3,2.01
227,人車,3,2.01
228,逢甲,3,2.01
229,行駛至,3,2.01
230,134,3,2.01
231,插管,3,2.01
232,分隔,3,2.01
233,水溝,3,2.01
234,徵象,3,2.01
235,水準,3,2.01
236,輪椅,3,2.01
237,記錄,3,2.01
238,呼吸道,3,2.01
239,灣嘉義,3,2.01
240,任職,3,2.01
241,骨塔,3,2.01
242,痕跡,3,2.01
243,監護,3,2.01
244,左方,3,2.01
245,機場,3,2.01
246,強制汽車責任保險金,3,2.01
247,信賴,3,2.01
248,呼吸衰竭,3,2.01
249,下腔,3,2.01
250,殘廢,3,2.01
251,胸椎,3,2.01
252,拔除,3,2.01
253,破裂,3,2.01
254,酒精,3,2.01
255,義務人,3,2.01
256,236,3,2.01
257,橫越,3,2.01
258,塔位,3,2.01
259,同一,3,2.01
260,環境,3,2.01
261,注射,3,2.01
262,學校,3,2.01
263,搭載,3,2.01
264,原則,3,2.01
265,號重,2,1.34
266,泰山,2,1.34
267,87,2,1.34
268,客觀,2,1.34
269,檢驗,2,1.34
270,見交,2,1.34
271,重度,2,1.34
272,疾病,2,1.34
273,日因,2,1.34
274,困難,2,1.34
275,會車,2,1.34
276,南向,2,1.34
277,喊叫,2,1.34
278,衛生署,2,1.34
279,竹苗區,2,1.34
280,物體,2,1.34
281,警員,2,1.34
282,車距,2,1.34
283,發展,2,1.34
284,喪子,2,1.34
285,善良,2,1.34
286,花蓮縣,2,1.34
287,營養品,2,1.34
288,餐費,2,1.34
289,患有,2,1.34
290,日常生活,2,1.34
291,免除,2,1.34
292,421,2,1.34
293,057,2,1.34
294,產物,2,1.34
295,736,2,1.34
296,項定,2,1.34
297,每人,2,1.34
298,二車,2,1.34
299,359,2,1.34
300,負扶養,2,1.34
301,元整,2,1.34
302,窒息,2,1.34
303,規範,2,1.34
304,53,2,1.34
305,減壓,2,1.34
306,關閉,2,1.34
307,摔倒,2,1.34
308,監視,2,1.34
309,證人張,2,1.34
310,結論,2,1.34
311,疏未,2,1.34
312,往來,2,1.34
313,交叉路口,2,1.34
314,820,2,1.34
315,無力,2,1.34
316,304,2,1.34
317,轉診,2,1.34
318,155,2,1.34
319,判例,2,1.34
320,車費用,2,1.34
321,640,2,1.34
322,顯屬,2,1.34
323,否認,2,1.34
324,兩段,2,1.34
325,參考,2,1.34
326,順序,2,1.34
327,有過,2,1.34
328,企業行,2,1.34
329,號之,2,1.34
330,失控,2,1.34
331,辦法,2,1.34
332,901,2,1.34
333,63,2,1.34
334,並經,2,1.34
335,箭頭,2,1.34
336,其行,2,1.34
337,防免,2,1.34
338,經驗,2,1.34
339,錄器,2,1.34
340,已盡,2,1.34
341,限速,2,1.34
342,導尿管,2,1.34
343,電燒,2,1.34
344,南行,2,1.34
345,時至,2,1.34
346,行政院,2,1.34
347,車行駛,2,1.34
348,高血壓,2,1.34
349,商業,2,1.34
350,證責任,2,1.34
351,支付,2,1.34
352,中壢,2,1.34
353,一事,2,1.34
354,拖行,2,1.34
355,左後輪,2,1.34
356,難認,2,1.34
357,剎車,2,1.34
358,58,2,1.34
359,960,2,1.34
360,人行,2,1.34
361,912,2,1.34
362,908,2,1.34
363,733,2,1.34
364,187,2,1.34
365,依職權,2,1.34
366,由西,2,1.34
367,需費用,2,1.34
368,協助,2,1.34
369,駛入,2,1.34
370,缺損,2,1.34
371,搖晃,2,1.34
372,正常,2,1.34
373,勘察,2,1.34
374,民族,2,1.34
375,生命,2,1.34
376,735,2,1.34
377,心律不整,2,1.34
378,事發,2,1.34
379,案發,2,1.34
380,個案,2,1.34
381,失智症,2,1.34
382,救治,2,1.34
383,肺栓塞,2,1.34
384,審理時,2,1.34
385,談話,2,1.34
386,店客,2,1.34
387,左前方,2,1.34
388,435,2,1.34
389,麻醉,2,1.34
390,萬餘元,2,1.34
391,餘命止,2,1.34
392,陸拾,2,1.34
393,前來,2,1.34
394,醫護,2,1.34
395,事務,2,1.34
396,駁回,2,1.34
397,行駛時,2,1.34
398,由南,2,1.34
399,虎尾,2,1.34
400,速度,2,1.34
401,中風,2,1.34
402,移除,2,1.34
403,一筆,2,1.34
404,期待,2,1.34
405,擴大,2,1.34
406,公司法,2,1.34
407,肋骨,2,1.34
408,484,2,1.34
