,keyword,count,ratio
0,看護費,1291,28.47
1,工作損失,939,20.71
2,骨折,759,16.74
3,最高法院,695,15.33
4,擦傷,596,13.14
5,痛苦,592,13.05
6,預供,574,12.66
7,頭部,559,12.33
8,普通重型機車,526,11.6
9,受判,522,11.51
10,依職權,511,11.27
11,先行,491,10.83
12,格法,433,9.55
13,減輕,412,9.08
14,道路交通,412,9.08
15,薪資損失,411,9.06
16,經濟,402,8.86
17,重型機車,398,8.78
18,無據,397,8.75
19,職權,393,8.67
20,終結,391,8.62
21,196,391,8.62
22,不能,388,8.56
23,斟酌,387,8.53
24,前來,377,8.31
25,固定,366,8.07
26,性骨折,352,7.76
27,拾元,346,7.63
28,醫藥費,345,7.61
29,撕裂,315,6.95
30,支付,307,6.77
31,人間,306,6.75
32,右膝,302,6.66
33,一部,300,6.62
34,安全措施,294,6.48
35,敗訴,292,6.44
36,所不爭執,288,6.35
37,實際,287,6.33
38,撫金,280,6.17
39,程度,279,6.15
40,駕駛人應,271,5.98
41,請准,268,5.91
42,腦震盪,265,5.84
43,餘由,261,5.76
44,左膝,260,5.73
45,願供,256,5.64
46,不應,251,5.53
47,合法,248,5.47
48,不在此限,243,5.36
49,交簡字,240,5.29
50,竟疏,236,5.2
51,業經,228,5.03
52,傷口,223,4.92
53,貿然,222,4.9
54,利者,218,4.81
55,其餘之訴,214,4.72
56,開規定,210,4.63
57,判例,210,4.63
58,臉部,200,4.41
59,所述,197,4.34
60,應依,197,4.34
61,191,195,4.3
62,本應,194,4.28
63,造成,191,4.21
64,項定,190,4.19
65,失傷害,189,4.17
66,失傷,189,4.17
67,之機車,188,4.15
68,行駛至,182,4.01
69,壹拾,180,3.97
70,通知,177,3.9
71,是否,174,3.84
72,失行,174,3.84
73,因過,168,3.7
74,頸部,168,3.7
75,期限,166,3.66
76,過高,164,3.62
77,負遲,163,3.59
78,挫擦傷,161,3.55
79,並有,161,3.55
80,辯論期,160,3.53
81,關節,158,3.48
82,每月薪資,158,3.48
83,伍元,158,3.48
84,工作收入,156,3.44
85,每日,156,3.44
86,月薪,156,3.44
87,下同,156,3.44
88,估價單,155,3.42
89,有過,155,3.42
90,延責任,155,3.42
91,堪認,148,3.26
92,基礎,144,3.18
93,右手,144,3.18
94,免除,144,3.18
95,往南方,139,3.07
96,舊額,139,3.07
97,389,139,3.07
98,來車,138,3.04
99,左肩,137,3.02
100,視距,136,3.0
101,情狀,136,3.0
102,嚴重,136,3.0
103,其餘假,134,2.95
104,乾燥,134,2.95
105,脛骨,133,2.93
106,開放性,131,2.89
107,本庭,130,2.87
108,市政府,128,2.82
109,骨科,126,2.78
110,燈光,126,2.78
111,胸壁,126,2.78
112,時速,125,2.76
113,送達,124,2.73
114,依前,123,2.71
115,警詢,123,2.71
116,下肢,123,2.71
117,腰椎,123,2.71
118,因車,122,2.69
119,等件,122,2.69
120,頭皮,122,2.69
121,無障,122,2.69
122,日間,121,2.67
123,並經,120,2.65
124,伍拾,118,2.6
125,不爭,118,2.6
126,礙物,117,2.58
127,前方,115,2.54
128,優先,115,2.54
129,所載,115,2.54
130,大腿,113,2.49
131,尚屬,113,2.49
132,斷裂,113,2.49
133,傷及,112,2.47
134,法官,112,2.47
135,說明,111,2.45
136,217,111,2.45
137,能力,110,2.43
138,揭規定,110,2.43
139,53,110,2.43
140,行政院,109,2.4
141,之主張,109,2.4
142,雙膝,108,2.38
143,右小腿,107,2.36
144,日診斷,107,2.36
145,路由,106,2.34
146,按因,106,2.34
147,情況,105,2.32
148,左小腿,105,2.32
149,統一,104,2.29
150,調取,104,2.29
151,補提,104,2.29
152,右肩,103,2.27
153,疤痕,102,2.25
154,49,101,2.23
155,050,101,2.23
156,資力,101,2.23
157,扭傷,100,2.21
158,前臂,100,2.21
159,庭以,99,2.18
160,搭載,98,2.16
161,報告表,98,2.16
162,無照,98,2.16
163,復健費,98,2.16
164,44,98,2.16
165,75,97,2.14
166,傷合,97,2.14
167,營業損失,97,2.14
168,負連帶,96,2.12
169,否認,96,2.12
170,58,96,2.12
171,擴大,95,2.09
172,右肘,95,2.09
173,交附民字,95,2.09
174,條請求,95,2.09
175,背部,94,2.07
176,參仟,94,2.07
177,新品,93,2.05
178,足踝,93,2.05
179,灣嘉義,93,2.05
180,韌帶,93,2.05
181,客觀,92,2.03
182,小客,92,2.03
183,開過,91,2.01
184,送修,91,2.01
185,號機車,91,2.01
186,腓骨,90,1.98
187,行駛時,89,1.96
188,車應,89,1.96
189,壹元,88,1.94
190,左方,88,1.94
191,身心,88,1.94
192,0.536,88,1.94
193,手肘,87,1.92
194,160,86,1.9
195,左足,86,1.9
196,背面,85,1.87
197,致系爭,85,1.87
198,同意,85,1.87
199,72,84,1.85
200,63,84,1.85
201,在案,84,1.85
202,道行,84,1.85
203,疏未,83,1.83
204,57,83,1.83
205,上受,83,1.83
206,採信,82,1.81
207,鈍挫傷,82,1.81
208,濃度,82,1.81
209,難認,81,1.79
210,187,81,1.79
211,該院,81,1.79
212,之修,81,1.79
213,繳納,81,1.79
214,86,80,1.76
215,任職,80,1.76
216,出血,80,1.76
217,胸部,79,1.74
218,61,79,1.74
219,左手,78,1.72
220,雖非,77,1.7
221,元等情,77,1.7
222,明確,77,1.7
223,77,76,1.68
224,即貿然,76,1.68
225,症狀,76,1.68
226,213,76,1.68
227,聲請,76,1.68
228,之判決,76,1.68
229,鎖骨,75,1.65
230,0000000000,75,1.65
231,顏面,74,1.63
232,判處,74,1.63
233,舊值,74,1.63
234,同一,73,1.61
235,因毀,73,1.61
236,肆元,73,1.61
237,錄表,73,1.61
238,研判,72,1.59
239,肋骨,72,1.59
240,所否,72,1.59
241,全日,71,1.57
242,繼續,71,1.57
243,以實,71,1.57
244,號營業,71,1.57
245,調閱,71,1.57
246,76,70,1.54
247,舊後價值,70,1.54
248,血腫,70,1.54
249,開立,70,1.54
250,出廠,70,1.54
251,之間,70,1.54
252,疼痛,69,1.52
253,牙齒,69,1.52
254,壓迫,69,1.52
255,開時,69,1.52
256,紙為證,69,1.52
257,營養,69,1.52
258,62,69,1.52
259,轉彎,68,1.5
260,參萬,68,1.5
261,日期,68,1.5
262,閘門,68,1.5
263,之責,67,1.48
264,73,66,1.46
265,人車,66,1.46
266,闖紅燈,66,1.46
267,無關,66,1.46
268,上班,65,1.43
269,小腿,65,1.43
270,440,65,1.43
271,股骨,65,1.43
272,款定,65,1.43
273,簡易判,65,1.43
274,幹道車,65,1.43
275,330,65,1.43
276,最後言詞,64,1.41
277,駛入,64,1.41
278,維修費用,64,1.41
279,義務,64,1.41
280,380,64,1.41
281,輕微,64,1.41
282,560,64,1.41
283,免為,64,1.41
284,386,63,1.39
285,建議,63,1.39
286,確實,63,1.39
287,從事,63,1.39
288,手勢,63,1.39
289,64,63,1.39
290,640,63,1.39
291,創傷,63,1.39
292,壹萬,63,1.39
293,解惟本,63,1.39
294,相符,62,1.37
295,遵守,62,1.37
296,用品,62,1.37
297,左肘,62,1.37
298,財物損失,62,1.37
299,開放性骨折,62,1.37
300,可證,62,1.37
301,190,62,1.37
302,185,61,1.35
303,之上,61,1.35
304,縣區,61,1.35
305,到庭,61,1.35
306,設有,60,1.32
307,上肢,60,1.32
308,巷口,60,1.32
309,衛生署,60,1.32
310,分局,60,1.32
311,項分,59,1.3
312,尺骨,59,1.3
313,沿新北市,59,1.3
314,出具,59,1.3
315,美容,59,1.3
316,律師,58,1.28
317,74,58,1.28
318,駁回,58,1.28
319,事發,58,1.28
320,故請求,58,1.28
321,限制,58,1.28
322,明細表,58,1.28
323,雙手,58,1.28
324,粉碎性,58,1.28
325,乙節,57,1.26
326,左腳,57,1.26
327,公路,57,1.26
328,760,57,1.26
329,84,57,1.26
330,人連帶,57,1.26
331,肱骨,57,1.26
332,91,57,1.26
333,290,57,1.26
334,行至,56,1.23
335,路邊,56,1.23
336,69,56,1.23
337,折算,56,1.23
338,車速,56,1.23
339,比例,56,1.23
340,項之規定,56,1.23
341,並受,56,1.23
342,960,56,1.23
343,殘價,56,1.23
344,指示,55,1.21
345,價單,55,1.21
346,255,55,1.21
347,其物,55,1.21
348,之診斷,55,1.21
349,受僱,55,1.21
350,080,55,1.21
351,焦慮,55,1.21
352,明細,55,1.21
353,精神痛苦,55,1.21
354,車輛修理費,55,1.21
355,平均法,55,1.21
356,貞操,55,1.21
357,磨損,54,1.19
358,器材,54,1.19
359,接受,54,1.19
360,劃有,54,1.19
361,肩部,54,1.19
362,闖越,54,1.19
363,依同法,54,1.19
364,揭時,54,1.19
365,其行,54,1.19
366,醫療用品費,53,1.17
367,膝部,53,1.17
368,鈍傷,53,1.17
369,通行,53,1.17
370,390,53,1.17
371,酒精,53,1.17
372,030,53,1.17
373,參元,53,1.17
374,急煞,53,1.17
375,上述,53,1.17
376,扣繳,52,1.15
377,法人,52,1.15
378,項得,52,1.15
379,保金,52,1.15
380,損所,52,1.15
381,大隊,52,1.15
382,總局,52,1.15
383,利率,52,1.15
384,踝骨,51,1.12
385,89,51,1.12
386,不慎,51,1.12
387,分別定,51,1.12
388,惟查,51,1.12
389,金錢,51,1.12
390,管制,51,1.12
391,820,51,1.12
392,215,50,1.1
393,相抵,50,1.1
394,左偏,50,1.1
395,790,50,1.1
396,臀部,50,1.1
397,必須,50,1.1
