,keyword,count,ratio
0,看護費,2313,49.88
1,骨折,1310,28.25
2,工作損失,1067,23.01
3,最高法院,691,14.9
4,不能,663,14.3
5,薪資損失,578,12.46
6,性骨折,531,11.45
7,受判,516,11.13
8,頭部,477,10.29
9,擦傷,428,9.23
10,固定,420,9.06
11,先行,408,8.8
12,普通重型機車,404,8.71
13,196,391,8.43
14,預供,384,8.28
15,所不爭執,384,8.28
16,依職權,373,8.04
17,支付,359,7.74
18,痛苦,359,7.74
19,重型機車,358,7.72
20,撕裂,338,7.29
21,實際,331,7.14
22,請准,330,7.12
23,無據,319,6.88
24,每月薪資,303,6.53
25,關節,302,6.51
26,經濟,300,6.47
27,醫藥費,299,6.45
28,斟酌,296,6.38
29,願供,283,6.1
30,職權,280,6.04
31,格法,277,5.97
32,道路交通,273,5.89
33,脛骨,262,5.65
34,程度,260,5.61
35,右膝,256,5.52
36,終結,249,5.37
37,貿然,240,5.18
38,前來,238,5.13
39,合法,237,5.11
40,每日,236,5.09
41,拾元,234,5.05
42,腦震盪,230,4.96
43,左膝,228,4.92
44,斷裂,224,4.83
45,竟疏,219,4.72
46,傷口,216,4.66
47,月薪,215,4.64
48,交簡字,212,4.57
49,不應,211,4.55
50,減輕,207,4.46
51,股骨,204,4.4
52,堪認,199,4.29
53,安全措施,197,4.25
54,臉部,197,4.25
55,191,194,4.18
56,失行,191,4.12
57,韌帶,184,3.97
58,通知,184,3.97
59,駕駛人應,184,3.97
60,嚴重,183,3.95
61,撫金,182,3.92
62,是否,181,3.9
63,壹拾,180,3.88
64,工作收入,179,3.86
65,不在此限,178,3.84
66,失能,178,3.84
67,並有,177,3.82
68,基礎,176,3.8
69,業經,176,3.8
70,伍拾,174,3.75
71,骨科,170,3.67
72,造成,169,3.64
73,利者,168,3.62
74,人間,167,3.6
75,霍夫曼,167,3.6
76,失傷害,167,3.6
77,一部,165,3.56
78,本應,164,3.54
79,不爭,164,3.54
80,腓骨,164,3.54
81,日診斷,161,3.47
82,開規定,160,3.45
83,行駛至,160,3.45
84,餘由,159,3.43
85,粉碎性,157,3.39
86,全日,156,3.36
87,所述,155,3.34
88,判例,154,3.32
89,失傷,153,3.3
90,下肢,151,3.26
91,開放性,150,3.23
92,伍元,149,3.21
93,能力,147,3.17
94,辯論期,147,3.17
95,因過,144,3.11
96,其餘假,143,3.08
97,負遲,142,3.06
98,期限,141,3.04
99,日間,140,3.02
100,出血,140,3.02
101,腰椎,136,2.93
102,舊額,135,2.91
103,延責任,135,2.91
104,復健費,134,2.89
105,敗訴,134,2.89
106,往南方,132,2.85
107,所載,130,2.8
108,開放性骨折,129,2.78
109,說明,129,2.78
110,頸部,129,2.78
111,44,127,2.74
112,之機車,127,2.74
113,應依,126,2.72
114,下同,125,2.7
115,右手,123,2.65
116,72,123,2.65
117,燈光,123,2.65
118,牙齒,122,2.63
119,視距,122,2.63
120,挫擦傷,122,2.63
121,乾燥,120,2.59
122,統一,120,2.59
123,送達,119,2.57
124,元等情,119,2.57
125,醫療用品費,118,2.54
126,項定,118,2.54
127,行政院,117,2.52
128,57,116,2.5
129,0000000000,116,2.5
130,依前,116,2.5
131,任職,115,2.48
132,77,115,2.48
133,顏面,113,2.44
134,左肩,113,2.44
135,等件,113,2.44
136,該院,113,2.44
137,用品,113,2.44
138,因車,112,2.42
139,疤痕,111,2.39
140,49,111,2.39
141,濃度,111,2.39
142,駛入,110,2.37
143,肱骨,110,2.37
144,礙物,110,2.37
145,尚屬,109,2.35
146,參拾,108,2.33
147,鎖骨,108,2.33
148,無障,107,2.31
149,背面,107,2.31
150,肋骨,106,2.29
151,器材,105,2.26
152,過高,105,2.26
153,扭傷,104,2.24
154,160,104,2.24
155,53,104,2.24
156,植牙,104,2.24
157,情況,102,2.2
158,交附民字,102,2.2
159,估價單,102,2.2
160,建議,101,2.18
161,050,100,2.16
162,庭以,99,2.14
163,傷合,99,2.14
164,86,99,2.14
165,道行,99,2.14
166,左小腿,97,2.09
167,來車,97,2.09
168,之主張,97,2.09
