,keyword,count,ratio
0,看護費,832,70.39
1,霍夫曼,442,37.39
2,骨折,302,25.55
3,出血,170,14.38
4,失能,165,13.96
5,頭部,151,12.77
6,最高法院,144,12.18
7,嚴重,139,11.76
8,癱瘓,117,9.9
9,扶養費,116,9.81
10,所不爭執,101,8.54
11,平均,99,8.38
12,工作損失,98,8.29
13,植物人,94,7.95
14,終身,93,7.87
15,不能,92,7.78
16,自理,91,7.7
17,能力,88,7.45
18,重型機車,87,7.36
19,下肢,86,7.28
20,肢體,83,7.02
21,程度,80,6.77
22,經濟,80,6.77
23,關節,78,6.6
24,實際,77,6.51
25,是否,75,6.35
26,每月薪資,75,6.35
27,年齡,75,6.35
28,撕裂,70,5.92
29,日常生活,70,5.92
30,先行,68,5.75
31,支付,67,5.67
32,殯葬費,64,5.41
33,薪資損失,63,5.33
34,普通重型機車,62,5.25
35,勞動力,62,5.25
36,血親,62,5.25
37,濃度,62,5.25
38,不爭,59,4.99
39,伍拾,56,4.74
40,用品,56,4.74
41,單利,56,4.74
42,請准,56,4.74
43,協助,55,4.65
44,性骨折,55,4.65
45,全日,55,4.65
46,機能,55,4.65
47,道路交通,54,4.57
48,顱骨,54,4.57
49,負連帶,53,4.48
50,日生,53,4.48
51,192,50,4.23
52,四肢,50,4.23
53,撫金,49,4.15
54,0000000000,47,3.98
55,願供,46,3.89
56,時速,46,3.89
57,缺損,45,3.81
58,創傷,45,3.81
59,股骨,45,3.81
60,行政院,44,3.72
61,脊髓,43,3.64
62,法定,43,3.64
63,喪葬費用,43,3.64
64,開放性骨折,42,3.55
65,直系,42,3.55
66,累計,42,3.55
67,腦膜,42,3.55
68,生命表,42,3.55
69,受僱,41,3.47
70,遺存,41,3.47
71,殘廢,41,3.47
72,酒精,40,3.38
73,安全措施,40,3.38
74,194,40,3.38
75,護理,38,3.21
76,斷裂,38,3.21
77,算法,38,3.21
78,義務,38,3.21
79,月薪,38,3.21
80,截肢,38,3.21
81,減輕,37,3.13
82,脛骨,37,3.13
83,退休,37,3.13
84,功能,36,3.05
85,傷合,36,3.05
86,無力,35,2.96
87,監護,35,2.96
88,腰椎,35,2.96
89,顱內,35,2.96
90,判例,34,2.88
91,增加,34,2.88
92,191,34,2.88
93,下腔,34,2.88
94,基礎,33,2.79
95,骨盆,33,2.79
96,背面,33,2.79
97,無據,33,2.79
98,殘廢等級,33,2.79
99,醫藥費,33,2.79
100,醫療用品費,32,2.71
101,傷口,32,2.71
102,日診斷,32,2.71
103,失行,32,2.71
104,工作收入,32,2.71
105,需人,32,2.71
106,每日,31,2.62
107,粉碎性,31,2.62
108,疤痕,31,2.62
109,左眼,31,2.62
110,障害,31,2.62
111,尚有,30,2.54
112,44,30,2.54
113,之機車,29,2.45
114,重大,29,2.45
115,前方,29,2.45
116,顏面,29,2.45
117,57,29,2.45
118,顯著,29,2.45
119,53,29,2.45
120,喪葬費,29,2.45
121,衛生法,29,2.45
122,輪椅,28,2.37
123,擦傷,28,2.37
124,利者,28,2.37
125,身心,28,2.37
126,視力,28,2.37
127,腓骨,28,2.37
128,尿布,28,2.37
129,義肢,28,2.37
130,闖紅燈,27,2.28
131,重傷,27,2.28
132,無照,27,2.28
133,160,27,2.28
134,終生,27,2.28
135,預供,27,2.28
136,開規定,27,2.28
137,救護,27,2.28
138,養費用,27,2.28
139,醫學大學,27,2.28
140,路由,26,2.2
141,器材,26,2.2
142,輔助,26,2.2
143,意識,26,2.2
144,說明,26,2.2
145,駛入,26,2.2
146,之重,26,2.2
147,受判,26,2.2
148,來車,26,2.2
149,症狀,26,2.2
150,0.00000000,26,2.2
151,殯葬費用,26,2.2
152,此為,26,2.2
153,情況,25,2.12
154,同意,25,2.12
155,造成,25,2.12
156,終結,25,2.12
157,法人,25,2.12
158,比例,25,2.12
159,固定,25,2.12
160,49,25,2.12
161,斟酌,25,2.12
162,客觀,24,2.03
163,72,24,2.03
164,保險金,24,2.03
165,接受,24,2.03
166,62,24,2.03
167,燈光,24,2.03
168,行駛至,24,2.03
169,痛苦,24,2.03
170,臉部,24,2.03
171,上肢,24,2.03
172,搭載,23,1.95
173,照料,23,1.95
174,殘障,23,1.95
175,217,23,1.95
176,008,23,1.95
177,左膝,23,1.95
178,所載,23,1.95
179,胸椎,23,1.95
180,該院,22,1.86
181,耗材,22,1.86
182,否認,22,1.86
183,承受,22,1.86
184,右膝,22,1.86
185,脾臟,22,1.86
186,無謀生,22,1.86
187,性腦,22,1.86
188,堪認,22,1.86
189,因過,22,1.86
190,開放性,22,1.86
191,審交重,21,1.78
192,補助,21,1.78
193,肋骨,21,1.78
194,過高,21,1.78
195,部外,21,1.78
196,58,21,1.78
197,重傷害,21,1.78
198,可證,21,1.78
199,韌帶,21,1.78
200,加護,21,1.78
201,尺骨,20,1.69
202,之責,20,1.69
203,判斷,20,1.69
204,僱用,20,1.69
205,保險局,20,1.69
206,109,20,1.69
207,扣繳,20,1.69
208,73,20,1.69
